Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Norrköping, Sweden",Koppargatan 30,Norrköping,,60223,Sweden,20,150,"58.622192, 16.154991",6,OPEN,6/29/2019,gmap | forum | tesla
"Hamyang, South Korea",경상남도 함양군 함양읍 고운로 298,함양군,Gyeongsang,,South Korea,6,120,"35.524635, 127.75314",180,OPEN,6/28/2019,gmap | forum | tesla
"Laytonville, CA",45020 North Highway 101,Laytonville,CA,95454,USA,8,150,"39.689269, -123.483443",502,OPEN,6/28/2019,gmap | forum | tesla
"Lasses, Norway",Europaveien 139,Rugtvedt,,3960,Norway,20,150,"59.037422, 9.674266",37,OPEN,6/27/2019,gmap | forum | tesla
"Tokushima, Japan",徳島県鳴門市鳴門町土佐泊浦高砂186-1,Tokushima,徳島県,,Japan,8,120,"34.200679, 134.624291",12,OPEN,6/27/2019,gmap | forum | tesla
"Taimao, Taiwan",338台灣桃園市蘆竹區南崁路一段112號,Taimao,,,Taiwan,8,120,"25.053926, 121.287869",62,OPEN,6/25/2019,gmap | forum | tesla
"FTLife Tower, Hong Kong",18 Sheung Yuet Road Kowloon Bay,Hong Kong,Hong Kong,,China,12,120,"22.321232, 114.209787",13,OPEN,6/24/2019,gmap | forum | tesla
"Henderson, NC",619 Ruin Creek Rd,Henderson,NC,27536,USA,8,150,"36.329537, -78.447534",139,OPEN,6/22/2019,gmap | forum | tesla
"Hayward, CA",19661 Hesperian Blvd,Hayward,CA,94541,USA,14,72,"37.667227, -122.120338",12,OPEN,6/22/2019,gmap | forum | tesla
"Polaris, OH",1177 Polaris Pkwy,Columbus,OH,43240,USA,10,150,"40.141056, -82.988972",281,OPEN,6/22/2019,gmap | forum | tesla
"Mt Airy, NC",2905 Rockford St,Mt Airy,NC,27030,USA,8,150,"36.458847, -80.636683",313,OPEN,6/22/2019,gmap | forum | tesla
"Hernes, Norway",Sørskogbygdveien 2,Hernes,,2410,Norway,16,150,"60.93304, 11.675945",302,OPEN,6/21/2019,gmap | forum | tesla
"East Brunswick - State Route 18, NJ",755 State Route 18,East Brunswick,NJ,8816,USA,16,145,"40.424107, -74.380069",46,OPEN,6/21/2019,gmap | forum | tesla
"Vallejo, CA",904 Admiral Callaghan Ln,Vallejo,CA,94591,USA,14,150,"38.131215, -122.223369",30,OPEN,6/21/2019,gmap | forum | tesla
"Nonsan, South Korea",충청남도 논산시 연무읍 동안로1113번길 36,Nonsan,,,South Korea,6,120,"36.12882428, 127.12962019",29,OPEN,6/20/2019,gmap | forum | tesla
