Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Mebane, NC",1237 Mebane Oaks Rd,Mebane,NC,27302,USA,8,250,"36.070176, -79.270532",202,OPEN,1/27/2021,gmap | forum | tesla
"Skaidi, Norway",Skaidiplassen,Kvalsund,,9620,Norway,3,250,"70.431958, 24.506893",69,OPEN,1/27/2021,gmap | forum | tesla
"Torrance, CA",3490 Fashion Way,Torrance,CA,90503,USA,20,250,"33.834811, -118.349039",26,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Zhuozhan Times Department Store, China","Zhuozhan Shopping Center, 69 Fuxing Road, Haidian District",Beijing,Beijing,,China,6,120,"39.918406, 116.282413",57,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - South China Automobile Trade City, China","South China Auto Trade Plaza, 1601-1603 South Guangzhou Avenue, Haizhu District",Guangzhou,Guangdong,,China,4,120,"23.076611, 113.319826",1,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - Zhihui Park, China","Zhongsen Shibohui, No. 6 Bohui Street, Guangyuan East Road, Tianhe District",Guangzhou,Guangdong,,China,10,120,"23.147219, 113.382671",19,OPEN,1/22/2021,gmap | forum | tesla
"Cangzhou - Golden Lion International Hotel, China","Cangzhou Golden Lion International Hotel, No.18 Yingbin Avenue",Cangzhou,Hebei,,China,4,120,"38.310492, 116.819753",13,OPEN,1/22/2021,gmap | forum | tesla
"Changsha - Sunstar City, China","Sunstar City, No.699 Qingzhuhu Avenue, Kaifu District",Changsha,Hunan,,China,6,120,"28.353669, 112.986119",63,OPEN,1/22/2021,gmap | forum | tesla
"Zhoushan - Haizhongzhou International Hotel, China","Haizhongzhou International Hotel, No.338 Donggang Xingpu Avenue, Putuo District",Zhoushan,Zhejiang,,China,4,120,"29.972572, 122.32252",0,OPEN,1/22/2021,gmap | forum | tesla
"Changsha - Haobska Hotel, China","Haobska Hotel, No.198 Xiangfu Road, Tianxin District",Changsha,Hunan,,China,4,120,"28.118471, 113.002371",76,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Europe and America Center, China","Occident Center South Rd, No.18 Jiaogong Rd",Hangzhou,Zhejiang,,China,12,250,"30.279558, 120.143642",18,OPEN,1/22/2021,gmap | forum | tesla
"Wuxi - Wuxi World Trade Center, China","Wuxi World Trade Center, 68 Taihu East Avenue",Wuxi,Jiangsu,,China,4,120,"31.559952, 120.315698",7,OPEN,1/22/2021,gmap | forum | tesla
Dalian - Fisherman’s Wharf. China,"Fisherman's Wharf, 66 Binhai East Road, Zhongshan District",Dalian,Liaoning,,China,4,120,"38.882793, 121.692027",90,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Guigu International Center, China","2nd Floor, Underground Parking Lot, Guigu International Center, 2000 Xinbei Rd",Hangzhou,Zhejiang,,China,6,120,"30.241554, 120.263024",13,OPEN,1/22/2021,gmap | forum | tesla
"Xi'an - Taihua Jinmao International, China","Taihua Jinmao International, intersection of Fenghui South Road and Keji 2nd Road, Yanta District",Xi'an,Shaanxi,,China,6,120,"34.230591, 108.894146",410,OPEN,1/22/2021,gmap | forum | tesla
"Chengdu - Yanlord Land Plaza, China","Zone 3, Floor 3, Underground Parking Lot, Yanlord Land Plaza, No. 1, Section 2, Renmin South Road",Chengdu,Sichuan,,China,6,120,"30.657641, 104.073464",505,OPEN,1/22/2021,gmap | forum | tesla
"Leshan - Emeishan Hongzhushan Hotel, China","Parking lot of Building 7, Hongzhushan Hotel, Baoguo Temple Scenic Area, Emeishan City",Leshan,Sichuan,,China,4,120,"29.569053, 103.451858",493,OPEN,1/22/2021,gmap | forum | tesla
"Tianjin - Wisdom Mountain Virtual Industrial Park, China","Wisdom Mountain Virtual Industrial Park, Gonghua Road and Rongyuan Road, Xiqing District",Tianjin,Tianjin,,China,4,120,"39.099381, 117.126363",4,OPEN,1/22/2021,gmap | forum | tesla
"Shaoxing - Tianyuan International, China","Tianyuan International at the intersection of Yundong Road and Meilonghu Road, Yuecheng District",Shaoxing,Zhejiang,,China,6,120,"30.006245, 120.609766",5,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Chengbei Sports Park, China *","Chengbei Sports Park, No.129 Baishi Road, Xiacheng District",Hangzhou,Zhejiang,,China,8,120,"30.319473, 120.171229",11,OPEN,1/22/2021,gmap | forum
"Nanjing - Huabo Smart Park, China *","Huabo Smart Park, No.17 Huashen Avenue, Yuhuatai District",Nanjing,Jiangsu,,China,2,120,"31.980275, 118.781667",14,OPEN,1/22/2021,gmap | forum | tesla
"Nanjing - Fengsheng Shanghui, China *","Fengsheng Shanghui, No.119 Software Avenue, Yuhuatai District",Nanjing,Jiangsu,,China,6,120,"31.981574, 118.767322",36,OPEN,1/22/2021,gmap | forum
"Jinan - Times Headquarters Base, China *","Times Headquarters Base, No. 15 Lanxiang Road, Tianqiao District",Jinan,Shandong,,China,6,120,"36.713286, 116.963366",29,OPEN,1/22/2021,gmap | forum
"Kunming - Caiyunli, China","Floor B2, Caiyunli Underground Parking Lot, No. 97 Shulin Street, Xishan District",Kunming,Yunnan,,China,8,120,"25.032645, 102.718044",1895,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - InterContinental Hotel, China","9009 Shennan Avenue, Overseas Chinese Town",Shenzhen,Guangdong,,China,8,120,"22.539001, 113.991186",13,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Guanghe Xinzuo, China","Area E, Floor B1, Ground Floor, 1559 Pudong Avenue, Pudong New Area",Shanghai,Shanghai,,China,8,120,"31.250775, 121.545518",10,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Aegean Shopping Park, China","Area M, Floor 3, Underground Parking Lot, Shanghai Aegean Shopping Park, 1588 Wuzhong Rd",Shanghai,Shanghai,,China,8,120,"31.180355, 121.379942",9,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Baoshan Baolehui, China","Area B, Floor B2, Baolehui Lifestyle Center, 1569 Mudanjiang Rd",Shanghai,Shanghai,,China,10,120,"31.405354, 121.49185",9,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Wangjing Mengxiu Happy Plaza, China","Floor B2, Underground Parking Lot, No. 41 Wangjing West Rd",Beijing,Beijing,,China,8,120,"40.000287, 116.463298",39,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Shunyi Tianbo Center, China","Floor B2, Underground Parking Lot, Tianbo Center, Nanjiao Rd",Beijing,Beijing,,China,8,120,"40.133427, 116.615275",28,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Daxing Longhu Tianjie, China","Area E5, B2 Floor, Underground Parking Lot, Longhutian St, Yongxing Rd",Beijing,Beijing,,China,12,120,"39.692635, 116.326798",40,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Changying Longhu Tianjie, China","Area G, Floor B2, Changyingtian Street Shopping Center, Building 1, Changtong No. 1, Courtyard",Beijing,Beijing,,China,12,120,"39.930414, 116.606086",29,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Raffles Center, China","Area C, Floor B3, Raffles Center Underground Parking Lot, Dongzhimen South St",Beijing,Beijing,,China,6,120,"39.946298, 116.438603",47,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Asia Finance Building, China","Area P3, B2 Floor, Northeast Corner, Intersection of Kehui South Rd and Tianchen East Rd",Beijing,Beijing,,China,10,,"40.013789, 116.396086",45,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Gemdale Center, China","B2 Floor, No. 91 Jianguo Rd",Beijing,Beijing,,China,8,120,"39.91488, 116.481841",45,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Xidan Juntai Department Store, China","B2 Floor, Juntai Department Store, No.133 Xidan North St",Beijing,Beijing,,China,6,120,"39.915712, 116.379579",49,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Yueyang Plaza, China","Area D, Floor B3, B3, Yueyang Plaza, 1601 Nanjing West Road, Jing'an District",Shanghai,Shanghai,,China,10,120,"31.228966, 121.45445",7,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Yunqi Town Convention and Exhibition Center, China","50-57 parking spaces second floor parking lot, Mountain View Rd",Hangzhou,Zhejiang,,China,6,120,"30.134052, 120.089615",20,OPEN,1/22/2021,gmap | forum | tesla
"Nanjing - Huatai Hotel, China","Area D, Basement Floor, No.139 Olympic St",Nanjing,Jiangsu,,China,6,120,"32.008454, 118.731297",3,OPEN,1/22/2021,gmap | forum | tesla
"Zhengzhou - Shenglong Plaza, China",Ground floor of Shenglong Plaza at intersection of Dongzhan S St and Dongfeng S Rd,Zhengzhou,Henan,,China,6,120,"34.763696, 113.776627",87,OPEN,1/22/2021,gmap | forum | tesla
"Guiyang - Zhongda International, China","Area C, Floor B3, intersection Xintian Ave S and LuchonggZhongda International Shopping Center",Guiyang,Guizhou,,China,8,120,"26.61127, 106.726772",1130,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - Baoan District Innovation Smart Port, China",Innovation Smart Port at the intersection of Hongtian Rd and Kengweitang 3rd Rd,Shenzhen,Guangdong,,China,6,120,"22.718168, 113.861517",14,OPEN,1/22/2021,gmap | forum | tesla
"Haikou - Tianyi Donghuan Hotel, China","South Gate of Tianyi Donghuan Hotel, No.139",Haikou,Hainan,,China,4,120,"19.992449, 110.34916",5,OPEN,1/22/2021,gmap | forum | tesla
"Chengdu - Lushan International, China","Area A1(001-046), Basement Floor, Lushan Town Parking Lot, No. 18, Section 2, Lushan Ave",Chengdu,Sichuan,,China,8,120,"30.488587, 104.101148",481,OPEN,1/22/2021,gmap | forum | tesla
"Ankang - Jianghua City Shopping Center, China","1st Floor, Jianghua City, No. 88 Xing'an Middle Rd",Ankang,Shaanxi,,China,6,120,"32.697784, 109.030447",251,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Fangshan Longhu Tianjie, China","Area C, Floor B2, Underground Parking Lot, Longhutian St, Gongchen North St",Beijing,Beijing,,China,8,120,"39.751717, 116.147136",49,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Lavande Hotel Capital Airport National Exhibition Store, China","Lavande Hotel (Capital Airport International Exhibition Store), No. 7 East Dulan Section, Shunsha Rd",Beijing,Beijing,,China,6,120,"40.150571, 116.609561",39,OPEN,1/22/2021,gmap | forum | tesla
"Wenzhou - Jiangnan InterContinental Hotel, China","Ground Floor, Jiangnan InterContinental Hotel, No. 1 Baixiang Ave",Wenzhou,Zhejiang,,China,8,120,"28.048853, 120.862025",11,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - International Automobile City, China","Shanghai International Automobile City, No. 7555, Anting Boyuan Road",Shanghai,Shanghai,,China,6,120,"31.285578, 121.173937",4,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Hopson Xintiandi, China","Mige Tiandi, 5999 Jiasong Middle Road, Qingpu District",Shanghai,Shanghai,,China,6,120,"31.156717, 121.236863",4,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Huanglong Hotel, China","Hangzhou Huanglong Hotel, 120 Shuguang Road, Xihu District",Hangzhou,Zhejiang,,China,6,120,"30.272788, 120.15048",17,OPEN,1/22/2021,gmap | forum | tesla
"Zhuhai - Yuanguang Software Park, China *","Yuanguang Software Park, No. 3, Keji 1st Road, Gangwan Avenue, Xiangzhou District",Zhuhai,Guangdong,,China,2,120,"22.379412, 113.567859",8,OPEN,1/22/2021,gmap | forum
"Wanning - Sheraton Hotel, China",Sheraton Shenzhou Peninsula Resort,Wanning,Hainan,,China,6,120,"18.678209, 110.361979",7,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - Xinghuo Online, China",Intersection of Meiban Avenue and Wuhe Avenue,Shenzhen,Guangdong,,China,6,120,"22.612048, 114.068727",96,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - Haishang Mingzhu Smart Park, China","No. 100, Lijiao Road, Haizhu District",Guangzhou,Guangdong,,China,6,120,"23.062345, 113.305331",4,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - Lianchuang Science and Technology Park, China","Ground parking lot of Lianchuang Technology Building, No. 21 Bulan Road, Longgang District",Shenzhen,Guangdong,,China,8,120,"22.638667, 114.137622",47,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - Panyu Sihaicheng, China","Sihai City Commercial Plaza, 390 E Hanxi Ave",Guangzhou,Guangdong,,China,6,120,"23.013109, 113.359129",21,OPEN,1/22/2021,gmap | forum | tesla
"Ningbo - Zhenhai Wuyue Plaza, China","Space 1-723 to 1-738, Basement A5, Wuyue Plaza, Intersection of Wanghai South Rd and Yongmao Rd",Ningbo,Zhejiang,,China,10,120,"29.955014, 121.607438",3,OPEN,1/22/2021,gmap | forum | tesla
"Chongqing - Aegean Shopping Park, China","Area D, Floor B1, Underground Parking Lot, No. 1003 Jinkai Ave",Chongqing,Chongqing,,China,10,120,"29.648169, 106.554915",346,OPEN,1/22/2021,gmap | forum | tesla
"Nanjing - Changfa Plaza, China","Ground parking lot of Changfa Plaza, Hongshan Rd",Nanjing,Jiangsu,,China,10,120,"32.091944, 118.818111",20,OPEN,1/22/2021,gmap | forum | tesla
"Xiamen - Jingxi Hotel, China","Second basement of Xiamen Jingxi Hotel, No.469 Hubin South Rd",Xiamen,Fujian,,China,8,120,"24.481032, 118.118066",15,OPEN,1/22/2021,gmap | forum | tesla
"Shenzhen - Zhonghao New Town, China",Zhonghao New City Parking Lot the Intersection of Lubei Ave and Xuegang North Rd,Shenzhen,Guangdong,,China,6,120,"22.662343, 114.083533",162,OPEN,1/22/2021,gmap | forum | tesla
"Changsha - Century Golden Resources, China","Zone B, Floor G, Century Golden Resources Shopping Center, No.199 Jintai Rd, Furong North Rd St",Changsha,Hunan,,China,12,120,"28.257408, 112.98579",41,OPEN,1/22/2021,gmap | forum | tesla
"Guangzhou - Vankeli Shopping Plaza, China","Area A, Floor B3, Vankeli Shopping Plaza, No.95 Jiangyan Rd, Fengyang St",Guangzhou,Guangdong,,China,6,120,"23.088676, 113.285731",11,OPEN,1/22/2021,gmap | forum | tesla
"Shanghai - Zhonghai Huanyuhui, China","202-213, Block E, 3rd Floor (B3) of Zhonghai Huanyuhui, Lane 838, South Huangpi Rd",Shanghai,Shanghai,,China,10,120,"31.217544, 121.483284",12,OPEN,1/22/2021,gmap | forum | tesla
"Qingdao - Excellence Grand Rong City, China","Area C18, B2, Underground Second Floor",Qingdao,Shandong,,China,6,120,"36.096741, 120.385897",35,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Xingdu Hotel, China","2nd Floor, Xingdu Hotel, No. 448 Wenhui Rd",Hangzhou,Zhejiang,,China,6,120,"30.284801, 120.160432",15,OPEN,1/22/2021,gmap | forum | tesla
"Chengdu - Lohas Commune, China","Area B, Floor B, Underground Parking Lot, North Gate of Lehuo Commune, Yinglong Rd",Chengdu,Sichuan,,China,8,120,"30.538015, 104.103917",488,OPEN,1/22/2021,gmap | forum | tesla
"Kunming - Xinyingxincheng, China","Row 17, Block B, Second Floor, Parking Lot, Xinyingxin City Shopping Center, No. 182, Xinyingxin Rd",Kunming,Yunnan,,China,8,120,"25.058014, 102.746582",1910,OPEN,1/22/2021,gmap | forum | tesla
"Chengdu - Longquan Wuyue Plaza, China","A06/A15/A16/A26, Basement Floor, Longquan Wuyue Plaza Parking Lot, Dalian North Rd",Chengdu,Sichuan,,China,8,120,"30.583752, 104.247186",514,OPEN,1/22/2021,gmap | forum | tesla
"Beijing - Jingtong Roosevelt Plaza, China","Parking Space B-059, Area B1, B2 Floor, Roosevelt, No. 76, Jiukeshu West Rd",Beijing,Beijing,,China,6,120,"39.895152, 116.66517",26,OPEN,1/22/2021,gmap | forum | tesla
"Xi'an - Maike Commercial Center, China","Area E19-E22, Basement 3rd Floor, Maike Commercial Center Parking Lot, Jinye Rd",Xi'an,Shaanxi,,China,8,120,"34.19896, 108.887329",413,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou- Hengqi Kela Tianxi, China","Area A, B1 Floor, Hengqi. Kela Tianxi, Intersection of Dongning Rd and Huayuandou St",Hangzhou,Zhejiang,,China,10,120,"30.303073, 120.22139",11,OPEN,1/22/2021,gmap | forum | tesla
"Hangzhou - Forte One Center, China","Area F, Basement Floor, Fushang Development Building, No. 1219, Moganshan Rd",Hangzhou,Zhejiang,,China,8,120,"30.32526, 120.115646",7,OPEN,1/22/2021,gmap | forum | tesla
"Suzhou - InterContinental, China","Area A, Basement Floor (B1), No. 288, Wangdun Rd, Suzhou Industrial Park",Suzhou,Jiangsu,,China,10,120,"31.325766, 120.716628",5,OPEN,1/22/2021,gmap | forum | tesla
"Collingwood, ON",10 Keith Ave,Collingwood,ON,L9Y 0W5,Canada,8,250,"44.50884, -80.238819",180,OPEN,1/21/2021,gmap | forum | tesla
"Yilan - Nuzhong Rd, Taiwan","No. 279號, Section 1, Nuzhong Road",Yilan County,,260 03 938 8321,Taiwan,6,250,"24.7476826, 121.7629552",6,OPEN,1/20/2021,gmap | forum | tesla
"Taipei - Nangang Exhibition Hall 2, Taiwan","No. 2, Jingmao 2nd Road, Nangang District",Taipei City,,115,Taiwan,6,250,"25.056849, 121.614709",10,OPEN,1/20/2021,gmap | forum | tesla
"Davis, CA",2151 Cowell Blvd,Davis,CA,95618,USA,16,250,"38.542553, -121.725827",13,OPEN,1/20/2021,gmap | forum | tesla
"Bancroft, ON",341 Hastings St N,Bancroft,ON,K0L 1C0,Canada,8,250,"45.084313, -77.861116",341,OPEN,1/15/2021,gmap | forum | tesla
"Concord - Diamond Blvd, CA",1975 Diamond Blvd,Concord,CA,94520,USA,16,250,"37.969947, -122.058491",11,OPEN,1/15/2021,gmap | forum | tesla
"Tappahannock, VA",1804 Tappahannock Blvd,Tappahannock,VA,22560,USA,8,250,"37.903836, -76.865734",11,OPEN,1/14/2021,gmap | forum | tesla
"Rehoboth Beach, DE",30155 Veterans Way,Rehoboth Beach,DE,19971,USA,8,250,"38.712542, -75.10381",7,OPEN,1/7/2021,gmap | forum | tesla
"Nice, France",606 Boulevard du Mercantour,Nice,Alpes-Maritimes,6200,France,16,250,"43.727745, 7.186437",39,OPEN,1/7/2021,gmap | forum | tesla
"San Mateo - Hillsdale Boulevard, CA",1308 W Hillsdale Blvd,San Mateo,CA,94403,USA,12,250,"37.533306, -122.327472",108,OPEN,1/6/2021,gmap | forum | tesla
"Wells, NV",1440 6th St,Wells,NV,89835,USA,8,250,"41.101369, -114.956259",1721,OPEN,1/2/2021,gmap | forum | tesla
"Goldsboro, NC",1001 N Spence Ave,Goldsboro,NC,27530,USA,8,250,"35.386452, -77.948309",33,OPEN,12/31/2020,gmap | forum | tesla
"Salem - Apperson Dr, VA",1435 Apperson Dr,Salem,VA,24153,USA,2,72,"37.271756, -80.037063",306,OPEN,12/31/2020,gmap | forum | tesla
"Shanghai - Jing'an, China",Jing'an International Center,Shanghai,Shanghai,,China,72,120,"31.244585, 121.452911",9,OPEN,12/30/2020,gmap | forum
"Hagerstown - Venture Dr, MD",17803 Venture Drive,Hagerstown,MD,21740,USA,8,250,"39.608895, -77.750802",175,OPEN,12/30/2020,gmap | forum | tesla
"Princeton, BC",136 Tapton Ave,Princeton,BC,V0X 1W0,Canada,8,250,"49.457882, -120.506224",640,OPEN,12/26/2020,gmap | forum | tesla
"Irvine - Main St, CA",1970 Main St,Irvine,CA,92614,USA,24,72,"33.684357, -117.851746",11,OPEN,12/26/2020,gmap | forum | tesla
"Canmore - Bow Valley Trail, AB",1704 Bow Valley Trail,Canmore,AB,T1W 1N5,Canada,8,250,"51.096694, -115.35779",1309,OPEN,12/26/2020,gmap | forum | tesla
"Munchen - Pasing Arcade, Germany","Floor -2 of the Pasing Arcade underground parking, entry from Offenbachstraße 3",München,,81241,Germany,12,250,"48.147904, 11.465776",525,OPEN,12/24/2020,gmap | forum | tesla
"Jebel Ali - Southbound, UAE",Sheikh Zayed Rd,Dubai,,,United Arab Emirates,8,250,"24.913898, 54.961102",5,OPEN,12/24/2020,gmap | forum | tesla
"Granada Hills, CA",10823 Zelzah Ave,Granada Hills,CA,91344,USA,16,250,"34.266172, -118.524155",317,OPEN,12/24/2020,gmap | forum | tesla
"Cheung Fat, Hong Kong",6 Tam Kon Shan Road,Tsing Yi,Hong Kong,,China,3,250,"22.362093, 114.102924",2,OPEN,12/23/2020,gmap | forum | tesla
"Cedar City, UT",5249 West 3650 South,Cedar City,UT,84720,USA,4,56,"37.606299, -113.161244",1678,OPEN,12/23/2020,gmap | forum | tesla
"Nürburgring Motorsport Hotel, Germany",Eifel-Ardennen-Straße,Nürburg,,53520,Germany,4,250,"50.331382, 6.945171",609,OPEN,12/23/2020,gmap | forum | tesla
Urumqi - Man Street Dining and Cultural Life Block,No. 83 Henan East Road,Urumqi,Xinjiang,,China,8,150,"43.87979, 87.57623",742,OPEN,12/23/2020,gmap | forum | tesla
"Entiat, WA",14581 US Hwy 97a,Entiat,WA,98822,USA,8,250,"47.684662, -120.206959",237,OPEN,12/23/2020,gmap | forum | tesla
"Weibersbrunn, Germany","Best Western Hotel Brunnenhof, Hauptstraße 231",Weibersbrunn,,63879,Germany,16,250,"49.934792, 9.353691",390,OPEN,12/23/2020,gmap | forum | tesla
"Knoxville - Neyland Drive, TN",400 Neyland Drive,Knoxville,TN,37902,USA,4,72,"35.959109, -83.916658",251,OPEN,12/22/2020,gmap | forum
"Asten, Austria",Handelsring 7,Asten,,4481,Austria,12,250,"48.2212, 14.407208",256,OPEN,12/22/2020,gmap | forum | tesla
"Lippetal, Germany",Strängenbach 1,Lippetal,,59510,Germany,8,250,"51.695531, 7.96733",66,OPEN,12/22/2020,gmap | forum | tesla
"Montrose, CO",533 N 1st St,Montrose,CO,81401,USA,8,250,"38.481242, -107.876472",1769,OPEN,12/18/2020,gmap | forum | tesla
"Niort, France",l’aire du Poitou,Vouillé,,79180,France,12,250,"46.298292, -0.375188",52,OPEN,12/18/2020,gmap | forum | tesla
"Maclean, NSW",2-4 Morpeth St,Harwood,NSW,2465,Australia,4,150,"-29.426979, 153.239215",3,OPEN,12/18/2020,gmap | forum | tesla
"Williamsburg, VA",842 Merrimac Trail,Williamsburg,VA,23185,USA,8,250,"37.266487, -76.676613",25,OPEN,12/18/2020,gmap | forum | tesla
"Erharting, Germany",Neuhäusl 1,Erharting,,84513,Germany,12,250,"48.282736, 12.554843",403,OPEN,12/18/2020,gmap | forum | tesla
"Winter Garden, FL",13501 W Colonial Dr,Winter Garden,FL,34787,USA,8,250,"28.551646, -81.584416",39,OPEN,12/18/2020,gmap | forum | tesla
"Notodden, Norway",Semsvegen 40 - by Rema 1000,Notodden,,3676,Norway,12,250,"59.566378, 9.219203",22,OPEN,12/17/2020,gmap | forum | tesla
"Arese, Italy",Viale Giuseppe Eugenio Luraghi 11,Arese,Milano,20020,Italy,8,250,"45.563508, 9.052541",175,OPEN,12/17/2020,gmap | forum | tesla
"Malibu, CA",3862 Cross Creek Rd,Malibu,CA,90265,USA,8,250,"34.036024, -118.684095",4,OPEN,12/17/2020,gmap | forum | tesla
"Newbridge (SC) - Edinburgh, UK",23 Cliftonhall Road,Edinburgh,Lothian,EH28 8PW,United Kingdom,8,250,"55.93391, -3.407749",49,OPEN,12/17/2020,gmap | forum | tesla
"Greenbrae, CA","Bon Air Center, Sir Francis Drake Blvd",Greenbrae,CA,94904,USA,14,72,"37.944776, -122.522706",4,OPEN,12/16/2020,gmap | forum | tesla
"London-Gatwick (SC), UK",3 County Oak Way,Crawley,,RH11 7ST,United Kingdom,8,250,"51.135183, -0.191314",61,OPEN,12/16/2020,gmap | forum | tesla
"Vestby, Norway",Senterveien 6,Vestby,,1540,Norway,20,250,"59.602863, 10.741169",72,OPEN,12/16/2020,gmap | forum | tesla
"Meerkerk, Netherlands",Energieweg 116,Meerkerk,,4231 DJ,Netherlands,18,250,"51.899615, 4.982857",0,OPEN,12/16/2020,gmap | forum | tesla
"Jokkmokk, Sweden",Klockarvägen 17,Jokkmokk,,962 32,Sweden,6,250,"66.605666, 19.824713",253,OPEN,12/15/2020,gmap | forum | tesla
"Clarksburg, NJ",548 Monmouth Rd,Millstone,NJ,8510,USA,8,250,"40.15767, -74.430151",47,OPEN,12/15/2020,gmap | forum | tesla
"Greenfield, CA",560 Walnut Ave,Greenfield,CA,93927,USA,12,250,"36.32925, -121.245444",86,OPEN,12/15/2020,gmap | forum | tesla
"Glen Mills, PA",970 Baltimore Pike,Glen Mills,PA,19342,USA,8,250,"39.883186, -75.534198",130,OPEN,12/14/2020,gmap | forum | tesla
"Petersburg - Wagner Rd, VA",151 Wagner Rd,Petersburg,VA,23805,USA,8,250,"37.1906, -77.3663",47,OPEN,12/12/2020,gmap | forum | tesla
"Montauk, NY",95 Carl Fisher Plaza,Montauk,NY,11954,USA,8,250,"41.035822, -71.943868",6,OPEN,12/11/2020,gmap | forum | tesla
"Riverhead, NY",1791 Old Country Rd,Riverhead,NY,11901,USA,8,250,"40.923322, -72.702788",10,OPEN,12/11/2020,gmap | forum | tesla
"Kawaguchi, Japan",1-chōme-7 Sakashitachō,Kawaguchi,Saitama,334-0003,Japan,4,250,"35.832459, 139.735628",7,OPEN,12/11/2020,gmap | forum | tesla
"Seattle - NW Ballard Way, WA",1416 NW Ballard Way,Seattle,WA,98107,USA,8,150,"47.662639, -122.374975",9,OPEN,12/11/2020,gmap | forum | tesla
"Aire de la Vendée, France",A83 Route des Estuaires,Sainte-Hermine,,85210,France,8,250,"46.5732276, -1.117874",33,OPEN,12/11/2020,gmap | forum | tesla
"Lexington, NC",2350 S Main St,Lexington,NC,27292,USA,8,250,"35.800189, -80.288565",223,OPEN,12/10/2020,gmap | forum | tesla
"Aberdeen (SC), UK",Wellington Circle,Aberdeen,Scotland,AB12,United Kingdom,8,250,"57.1103, -2.0925",88,OPEN,12/10/2020,gmap | forum | tesla
"Kristinehamn, Sweden",Bartilsbrovägen 4,Kristinehamn,,681 43,Sweden,8,250,"59.314807, 14.147564",102,OPEN,12/9/2020,gmap | forum | tesla
"Knetzgau, Germany",Mainleite 12,Knetzgau,,97478,Germany,8,250,"49.981648, 10.554985",254,OPEN,12/9/2020,gmap | forum | tesla
"Banbury, UK",15 Lockheed Cl,Banbury,,OX16 1LX,United Kingdom,12,250,"52.073571, -1.342005",100,OPEN,12/8/2020,gmap | forum | tesla
"Auckland - Sylvia Park, New Zealand",286 Mount Wellington Highway,Mount Wellington,Auckland,1060,New Zealand,6,120,"-36.914103, 174.840171",14,OPEN,12/8/2020,gmap | forum | tesla
"Lisbon, CT",160 River Rd,Lisbon,CT,6351,USA,8,250,"41.58569, -71.991059",39,OPEN,12/8/2020,gmap | forum | tesla
"Chelmsford (SC), UK",1 White Hart Ln,"Springfield, Chelmsford",,CM2 5EF,United Kingdom,8,250,"51.7503, 0.5114",41,OPEN,12/8/2020,gmap | forum | tesla
"Seattle - 1201 2nd Avenue, WA",1201 2nd Ave,Seattle,WA,98101,USA,4,72,"47.6066581, -122.3371498",24,OPEN,12/7/2020,gmap | forum | tesla
"Peachtree Corners, GA",5220 Town Center Blvd,Peachtree Corners,GA,30092,USA,12,250,"33.978802, -84.214918",305,OPEN,12/4/2020,gmap | forum | tesla
"Irvine - Walnut Ave, CA",5406 Walnut Ave,Irvine,CA,92604,USA,8,250,"33.689828, -117.769439",47,OPEN,12/4/2020,gmap | forum | tesla
"Braintree, UK","Edison Way, Great Notley",Braintree,Essex,CM77 7AP,United Kingdom,6,250,"51.8526, 0.5224",76,OPEN,12/4/2020,gmap | forum | tesla
"Košice, Slovakia",Parkovisko Optima,Košice,,040 11,Slovakia,4,250,"48.695112, 21.235596",234,OPEN,12/3/2020,gmap | forum | tesla
